[2024-04-06 22:18:31] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[75000], num_test_tasks=10000, print_freq=10, seq_len=8, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=1, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets\\splits\\surgicalphasev1TrainTestlist', path='video_datasets\\data\\surgicalphasev1_Xx256')

[2024-04-06 22:18:31] Checkpoint Directory: checkpoint

[2024-04-07 08:41:28] Task [1430/100020], Train Loss: 0.0663674, Train Accuracy: 0.9799999
[2024-04-07 08:45:50] Task [1440/100020], Train Loss: 0.0878988, Train Accuracy: 0.9600000
[2024-04-07 08:50:16] Task [1450/100020], Train Loss: 0.1657949, Train Accuracy: 0.9600000
[2024-04-07 08:54:30] Task [1460/100020], Train Loss: 0.1733704, Train Accuracy: 0.9500000
[2024-04-07 08:58:42] Task [1470/100020], Train Loss: 0.0996550, Train Accuracy: 0.9600000
[2024-04-07 09:02:55] Task [1480/100020], Train Loss: 0.0873459, Train Accuracy: 0.9700001
[2024-04-07 09:07:10] Task [1490/100020], Train Loss: 0.0974593, Train Accuracy: 0.9600000
[2024-04-07 09:11:25] Task [1500/100020], Train Loss: 0.0406561, Train Accuracy: 0.9899999
[2024-04-07 09:15:39] Task [1510/100020], Train Loss: 0.0407774, Train Accuracy: 0.9700000
[2024-04-07 09:19:52] Task [1520/100020], Train Loss: 0.1667416, Train Accuracy: 0.9599999
